Customer Code,Recency,Frequency,Monetary,Total Quantity,R_Score,F_Score,M_Score,RFM_Score_Sum,RFM_Segment,Cluster_ID,Cluster_Name
S060,57,5,923.85,63.0,10,1,1,12,New Customers,4,Segment 3
S061,106,8,266127.0,50474.0,9,1,1,11,New Customers,5,Sub-Segment 1
S062,26,9,2202.3,111.0,10,1,1,12,New Customers,4,Segment 3
S063,16,5,1009.8,132.0,10,1,1,12,New Customers,4,Segment 3
S064,166,4,839.7,72.0,8,1,1,10,New Customers,4,Segment 3
S065,9,27,16896.9,5298.0,10,1,1,12,New Customers,4,Segment 3
S066,2,24,8267.7,518.0,10,1,1,12,New Customers,4,Segment 3
S067,2,9,3370.05,222.0,10,1,1,12,New Customers,4,Segment 3
S068,7,5,882.0,60.0,10,1,1,12,New Customers,4,Segment 3
S069,23,3,4014.0,360.0,10,1,1,12,New Customers,4,Segment 3
T001,1,12,6244.2,692.0,10,1,1,12,New Customers,4,Segment 3
T002,5,104,245834.1,18971.0,10,1,1,12,New Customers,4,Segment 3
T003,98,34,9895.2,584.0,9,1,1,11,New Customers,4,Segment 3
T004,2,314,265735.8,21112.0,10,1,1,12,New Customers,4,Segment 3
T005,7,113,916927.5,57764.0,10,1,1,12,New Customers,5,Sub-Segment 1
T006,1,269,169598.7,13472.0,10,1,1,12,New Customers,4,Segment 3
T007,1,270,126127.8,9380.0,10,1,1,12,New Customers,4,Segment 3
T009,2,310,498615.75,26073.0,10,1,1,12,New Customers,5,Sub-Segment 1
T011,1,123,30513.3,1963.0,10,1,1,12,New Customers,4,Segment 3
T012,2,53,13115.7,1184.0,10,1,1,12,New Customers,4,Segment 3
T013,15,23,3983.4,303.0,10,1,1,12,New Customers,4,Segment 3
T014,335,18,5102.85,429.0,5,1,1,7,New Customers,4,Segment 3
T015,5,51,11647.05,911.0,10,1,1,12,New Customers,4,Segment 3
T016,5,146,98403.3,7867.0,10,1,1,12,New Customers,4,Segment 3
T017,1,40,15154.949999999999,1041.0,10,1,1,12,New Customers,4,Segment 3
T018,9,14,4310.7,338.0,10,1,1,12,New Customers,4,Segment 3
T019,6,270,84804.75,6585.0,10,1,1,12,New Customers,4,Segment 3
T020,9,33,57388.35,2833.0,10,1,1,12,New Customers,4,Segment 3
T022,20,17,5605.8,532.0,10,1,1,12,New Customers,4,Segment 3
T023,22,10,2646.45,281.0,10,1,1,12,New Customers,4,Segment 3
T024,14,34,13880.1,896.0,10,1,1,12,New Customers,4,Segment 3
T025,9,44,11475.6,734.0,10,1,1,12,New Customers,4,Segment 3
T026,2,789,372534.6,27383.0,10,1,1,12,New Customers,5,Sub-Segment 1
T027,16,21,4255.8,473.0,10,1,1,12,New Customers,4,Segment 3
T028,579,1,381.6,24.0,1,1,1,3,Lost Customers,4,Segment 3
T029,243,75,28717.26,2518.0,6,1,1,8,New Customers,4,Segment 3
T030,15,2,2079.0,140.0,10,1,1,12,New Customers,4,Segment 3
T031,2,229,62708.55,4694.0,10,1,1,12,New Customers,4,Segment 3
T032,2,181,41497.95,2677.0,10,1,1,12,New Customers,4,Segment 3
T033,482,7,1606.5,126.0,2,1,1,4,Lost Customers,4,Segment 3
T035,552,1,2275.5,37.0,1,1,1,3,Lost Customers,4,Segment 3
